beginTime,Temp,TempType
42763.00,37.9,F
42763.04,36,F
42763.08,1.1,C
42763.13,33.1,F
42763.17,30.9,F
42763.21,32,F
42763.25,30,F
42763.29,30.9,F
42763.33,3.3,C
42763.38,6.7,C
42763.42,50,F
42763.46,11.1,C
42763.50,54,F
42763.54,14.4,C
42763.58,59,F
42763.63,61,F
42763.67,16.1,C
42763.71,57,F
42763.75,11.1,C
42763.79,48,F
42763.83,46.9,F
42763.88,44.1,F
42763.92,41,F
42763.96,3.9,C
42764.00,3.3,C
42764.04,37,F
42764.08,2.8,C
42764.13,35.1,F
42764.17,1.1,C
42764.21,1.7,C
42764.25,0,C
42764.29,0.6,C
42764.33,8.9,C
42764.38,14.4,C
42764.42,64,F
42764.46,18.9,C
42764.50,66.9,F
42764.54,69.1,F
42764.58,21.7,C
42764.63,71.1,F
42764.67,21.1,C
42764.71,66,F
42764.75,16.1,C
42764.79,57.9,F
42764.83,53.1,F
42764.88,11.1,C
42764.92,12.2,C
42764.96,54,F
42765.00,54,F
42765.04,54,F
42765.08,12.8,C
42765.13,13.3,C
42765.17,10.6,C
42765.21,10.6,C
42765.25,5.6,C
42765.29,48,F
42765.33,9.4,C
42765.38,16.1,C
42765.42,64.9,F
42765.46,20,C
42765.50,21.7,C
42765.54,72,F
42765.58,73,F
42765.63,75,F
42765.67,23.9,C
42765.71,69.1,F
42765.75,63,F
42765.79,13.9,C
42765.83,57,F
42765.88,10.6,C
42765.92,8.3,C
42765.96,7.2,C
42766.00,7.2,C
42766.04,43,F
42766.08,6.1,C
42766.13,6.1,C
42766.17,6.1,C
42766.21,5.6,C
42766.25,43,F
42766.29,43,F
42766.33,48.9,F
42766.38,13.9,C
42766.42,62.1,F
42766.46,66.9,F
42766.50,21.7,C
42766.54,73.9,F
42766.58,73.9,F
42766.63,23.3,C
42766.67,22.8,C
42766.71,20.6,C
42766.75,17.8,C
42766.79,15,C
42766.83,12.2,C
42766.88,52,F
42766.92,9.4,C
42766.96,8.3,C
