beginTime,endTime,Temp,TempType
1/28/2017 0:00,1/28/2017 1:00,37.9,F
1/28/2017 1:00,1/28/2017 2:00,36,F
1/28/2017 2:00,1/28/2017 3:00,1.1,C
1/28/2017 3:00,1/28/2017 4:00,33.1,F
1/28/2017 4:00,1/28/2017 5:00,30.9,F
1/28/2017 5:00,1/28/2017 6:00,32,F
1/28/2017 6:00,1/28/2017 7:00,30,F
1/28/2017 7:00,1/28/2017 8:00,30.9,F
1/28/2017 8:00,1/28/2017 9:00,3.3,C
1/28/2017 9:00,1/28/2017 10:00,6.7,C
1/28/2017 10:00,1/28/2017 11:00,50,F
1/28/2017 11:00,1/28/2017 12:00,11.1,C
1/28/2017 12:00,1/28/2017 13:00,54,F
1/28/2017 13:00,1/28/2017 14:00,14.4,C
1/28/2017 14:00,1/28/2017 15:00,59,F
1/28/2017 15:00,1/28/2017 16:00,61,F
1/28/2017 16:00,1/28/2017 17:00,16.1,C
1/28/2017 17:00,1/28/2017 18:00,57,F
1/28/2017 18:00,1/28/2017 19:00,11.1,C
1/28/2017 19:00,1/28/2017 20:00,48,F
1/28/2017 20:00,1/28/2017 21:00,46.9,F
1/28/2017 21:00,1/28/2017 22:00,44.1,F
1/28/2017 22:00,1/28/2017 23:00,41,F
1/28/2017 23:00,1/29/2017 0:00,3.9,C
1/29/2017 0:00,1/29/2017 1:00,3.3,C
1/29/2017 1:00,1/29/2017 2:00,37,F
1/29/2017 2:00,1/29/2017 3:00,2.8,C
1/29/2017 3:00,1/29/2017 4:00,35.1,F
1/29/2017 4:00,1/29/2017 5:00,1.1,C
1/29/2017 5:00,1/29/2017 6:00,1.7,C
1/29/2017 6:00,1/29/2017 7:00,0,C
1/29/2017 7:00,1/29/2017 8:00,0.6,C
1/29/2017 8:00,1/29/2017 9:00,8.9,C
1/29/2017 9:00,1/29/2017 10:00,14.4,C
1/29/2017 10:00,1/29/2017 11:00,64,F
1/29/2017 11:00,1/29/2017 12:00,18.9,C
1/29/2017 12:00,1/29/2017 13:00,66.9,F
1/29/2017 13:00,1/29/2017 14:00,69.1,F
1/29/2017 14:00,1/29/2017 15:00,21.7,C
1/29/2017 15:00,1/29/2017 16:00,71.1,F
1/29/2017 16:00,1/29/2017 17:00,21.1,C
1/29/2017 17:00,1/29/2017 18:00,66,F
1/29/2017 18:00,1/29/2017 19:00,16.1,C
1/29/2017 19:00,1/29/2017 20:00,57.9,F
1/29/2017 20:00,1/29/2017 21:00,53.1,F
1/29/2017 21:00,1/29/2017 22:00,11.1,C
1/29/2017 22:00,1/29/2017 23:00,12.2,C
1/29/2017 23:00,1/30/2017 0:00,54,F
1/30/2017 0:00,1/30/2017 1:00,54,F
1/30/2017 1:00,1/30/2017 2:00,54,F
1/30/2017 2:00,1/30/2017 3:00,12.8,C
1/30/2017 3:00,1/30/2017 4:00,13.3,C
1/30/2017 4:00,1/30/2017 5:00,10.6,C
1/30/2017 5:00,1/30/2017 6:00,10.6,C
1/30/2017 6:00,1/30/2017 7:00,5.6,C
1/30/2017 7:00,1/30/2017 8:00,48,F
1/30/2017 8:00,1/30/2017 9:00,9.4,C
1/30/2017 9:00,1/30/2017 10:00,16.1,C
1/30/2017 10:00,1/30/2017 11:00,64.9,F
1/30/2017 11:00,1/30/2017 12:00,20,C
1/30/2017 12:00,1/30/2017 13:00,21.7,C
1/30/2017 13:00,1/30/2017 14:00,72,F
1/30/2017 14:00,1/30/2017 15:00,73,F
1/30/2017 15:00,1/30/2017 16:00,75,F
1/30/2017 16:00,1/30/2017 17:00,23.9,C
1/30/2017 17:00,1/30/2017 18:00,69.1,F
1/30/2017 18:00,1/30/2017 19:00,63,F
1/30/2017 19:00,1/30/2017 20:00,13.9,C
1/30/2017 20:00,1/30/2017 21:00,57,F
1/30/2017 21:00,1/30/2017 22:00,10.6,C
1/30/2017 22:00,1/30/2017 23:00,8.3,C
1/30/2017 23:00,1/31/2017 0:00,7.2,C
1/31/2017 0:00,1/31/2017 1:00,7.2,C
1/31/2017 1:00,1/31/2017 2:00,43,F
1/31/2017 2:00,1/31/2017 3:00,6.1,C
1/31/2017 3:00,1/31/2017 4:00,6.1,C
1/31/2017 4:00,1/31/2017 5:00,6.1,C
1/31/2017 5:00,1/31/2017 6:00,5.6,C
1/31/2017 6:00,1/31/2017 7:00,43,F
1/31/2017 7:00,1/31/2017 8:00,43,F
1/31/2017 8:00,1/31/2017 9:00,48.9,F
1/31/2017 9:00,1/31/2017 10:00,13.9,C
1/31/2017 10:00,1/31/2017 11:00,62.1,F
1/31/2017 11:00,1/31/2017 12:00,66.9,F
1/31/2017 12:00,1/31/2017 13:00,21.7,C
1/31/2017 13:00,1/31/2017 14:00,73.9,F
1/31/2017 14:00,1/31/2017 15:00,73.9,F
1/31/2017 15:00,1/31/2017 16:00,23.3,C
1/31/2017 16:00,1/31/2017 17:00,22.8,C
1/31/2017 17:00,1/31/2017 18:00,20.6,C
1/31/2017 18:00,1/31/2017 19:00,17.8,C
1/31/2017 19:00,1/31/2017 20:00,15,C
1/31/2017 20:00,1/31/2017 21:00,12.2,C
1/31/2017 21:00,1/31/2017 22:00,52,F
1/31/2017 22:00,1/31/2017 23:00,9.4,C
1/31/2017 23:00,2/1/2017 0:00,8.3,C
